1.000000000000000056e-01 7.497456008800027303e-61
1.023668114574698557e-01 7.596097521031664920e-61
1.047896408796918227e-01 7.696036826531301119e-61
1.072698141062738836e-01 7.797290999929368277e-61
1.098086883569477784e-01 7.899877340501477309e-61
1.124076529742773639e-01 8.003813375124004723e-61
1.150681301839455162e-01 8.109116861268553487e-61
1.177915758730354590e-01 8.215805790035821079e-61
1.205794803867327597e-01 8.323898389229381838e-61
1.234333693438835755e-01 8.433413126469900395e-61
1.263548044718556806e-01 8.544153220455324065e-61
1.293453844611592018e-01 8.655172465781867012e-61
1.324067458402943265e-01 8.767634249943678941e-61
1.355405638713054473e-01 8.881557316702075287e-61
1.387485534665306997e-01 8.996960653367911580e-61
1.420324701270502255e-01 9.113863493965177794e-61
1.453941109033447254e-01 9.232285322437193203e-61
1.488353153786914906e-01 9.352245875892914498e-61
1.523579666758357598e-01 9.473765147898030398e-61
1.559639924874875183e-01 9.596863391806219265e-61
1.596553661312088424e-01 9.731474384996175715e-61
1.634341076292676886e-01 9.890035750147071474e-61
1.673022848140508223e-01 1.005118066076331593e-60
1.712620144596386229e-01 1.021495121226433977e-60
1.753154634401630219e-01 1.038139018595815659e-60
1.794648499155811761e-01 1.055054106021699890e-60
1.837124445455142197e-01 1.072244802183504876e-60
1.880605717318154235e-01 1.089715597757122978e-60
1.925116108905473022e-01 1.107471056588037533e-60
1.970679977540646111e-01 1.125515816883398765e-60
2.017322257039141919e-01 1.145187155491776068e-60
2.065068471352833612e-01 1.166732855105433721e-60
2.113944748537410212e-01 1.188683918304927161e-60
2.163977835050376053e-01 1.211047971653347742e-60
2.215195110387456479e-01 1.233832785200900362e-60
2.267624602065418105e-01 1.257046275184521807e-60
2.321295000959508192e-01 1.280696506778256825e-60
2.376235677003892266e-01 1.304791696895380605e-60
2.432476695263706690e-01 1.329340217043239467e-60
2.490048832387492250e-01 1.354350596231805069e-60
2.548983593449034024e-01 1.383214331008874687e-60
2.609313229187812389e-01 1.414754928327896796e-60
2.671070753657506236e-01 1.447014726754758404e-60
2.734289962292198450e-01 1.480010125796046842e-60
2.799005450400177675e-01 1.513757898906350870e-60
2.865252632095455776e-01 1.548275202015169133e-60
2.933067759677346342e-01 1.583579582248298210e-60
3.002487943468744591e-01 1.172737660701355522e-48
3.073551172123913933e-01 1.522240124359044406e-48
3.146296333416941371e-01 1.976981584859664761e-48
3.220763235522207668e-01 2.569044383808241815e-48
3.296992628798524061e-01 3.340433395699122096e-48
3.375026228088864322e-01 4.346195599479988990e-48
3.454906735547882968e-01 5.658538241560538764e-48
3.536677864009728500e-01 7.372271407253842008e-48
3.620384360908910359e-01 9.612009217084878946e-48
3.706072032767349644e-01 1.254170902579271999e-47
3.793787770260972914e-01 1.637732262030136755e-47
3.883579573879599733e-01 2.022625177939336799e-47
3.975496580194141094e-01 2.449833856176720490e-47
4.069589088745497740e-01 2.967738835020872175e-47
4.165908589569868870e-01 3.595701521798103501e-47
4.264507791375529711e-01 4.357240900092471695e-47
4.365440650386500088e-01 5.280931860621518035e-47
